"state","place","TotalPop","Male","Female","White","NonHispanic","USCitizen","Commute_DriveAlone","Family_Married","EnrolledSchool_Over3Yrs","Education_Bachelors","Eduction_GraduateProf","Household_English","PovertyLvl_2andOver","NonVeteran","Employed","NotLaborForce","House_OwnerOccupied","House_Built80to99","HealthIns_Covered"
"Alabama","Albertville city",22992,0.454070981210856,0.545929018789144,0.659838204592902,0.700765483646486,0.933933542101601,0.342118997912317,0.128001043841336,0.26365692414753,0.0798103688239388,0.0210073068893528,NA,0.477339944328462,NA,0.398834377174669,0.288665622825331,0.247390396659708,0.146833681280445,0.478818719554628
"Alabama","Fairhope city",27783,0.451067199366519,0.548932800633481,NA,0.966490299823633,0.992909333045387,NA,0.252672497570457,0.202569916855631,0.214951589101249,0.155922686534931,NA,0.596083936219991,0.73804124824533,0.436921858690566,0.386279379476658,0.27286470143613,0.132779037540942,0.51383939819314
"Alabama","Foley city",24735,0.490640792399434,0.509359207600566,0.811562563169598,0.879037800687285,0.924479482514655,0.322134627046695,0.257044673539519,0.187911865777239,0.13050333535476,0.0720032342834041,NA,0.629270264806954,0.762199312714777,0.44972710733778,0.408004851425106,0.324762482312513,0.117364059025672,0.420456842530827
"Alabama","Helena city",23214,0.469975015077109,0.530024984922891,NA,0.982295166709744,0.992547600585853,0.404540363573706,0.242181442233135,0.299948307056087,0.2557939174636,0.132032394244852,NA,NA,0.688937710002585,0.5500990781425,0.214956491772206,0.31976393555613,0.131817006978547,0.552942190057724
"Alabama","Mountain Brook city",24096,0.4574203187251,0.5425796812749,NA,0.986180278884462,0.993276892430279,NA,0.254399070385126,0.350307104913679,0.221074037184595,0.265438247011952,NA,NA,0.591965471447543,0.460034860557769,0.189865537848606,0.292123173970784,0.0452357237715803,0.485765272244356
"Alabama","Oxford city",21384,0.455246913580247,0.544753086419753,NA,0.8915544332211,0.970819304152638,NA,0.170220725776281,0.292274597830153,0.116863075196409,0.0591096146651702,NA,0.643237934904602,0.685278713056491,0.429386457164235,0.301674148896371,0.310980172091283,0.128507295173962,0.434062850729517
"Alabama","Prichard city",19908,0.460116536065903,0.539883463934097,NA,0.998693992364878,1,0.260347598955194,0.0678119349005425,0.271297970665059,0.0315953385573639,0.0237592927466345,NA,0.318967249346996,0.735382760699216,0.297116736990155,0.492364878440828,0.202431183443842,0.053897930480209,0.403556359252562
"Arizona","Anthem CDP",26002,0.473040535343435,0.526959464656565,NA,0.9307745558034,0.979193908160911,0.218406276440274,0.229636181832167,0.241712175986463,0.196715637258672,0.112875932620568,0.321167602492116,0.872279055457272,0.692562110606876,0.471925236520268,0.299976924851934,0.307476347973233,NA,0.519729251596031
"Arizona","Drexel Heights CDP",25976,0.49183862026486,0.50816137973514,0.30385740683708,0.192908838928241,0.963620264859871,0.32784108407761,0.177279026793964,0.228749615029258,0.104519556513705,0.0221358176778565,0.167308284570373,0.694371727748691,0.734485679088389,0.466507545426548,0.394479519556514,0.327263627964275,0.139744379427164,0.495842315983985
"Arizona","New River CDP",21804,0.549669785360484,0.450330214639516,NA,0.957805907172996,0.995551274995414,0.329205650339387,NA,0.170106402494955,0.0715465052283985,0.0666850119244175,NA,0.852825169693634,0.650385250412768,0.567189506512566,0.204870665932856,0.290726472206934,NA,0.542469271693267
"Arizona","Nogales city",20995,0.456727792331508,0.543272207668492,0.0678733031674208,0.0213384139080733,0.703881876637295,NA,0.144939271255061,0.271255060728745,0.0786377708978328,0.0151940938318647,NA,0.516742081447964,NA,0.439295070254823,0.329983329364134,0.192140985949035,0.106549178375804,0.276351512264825
"Arizona","Rio Rico CDP",20705,0.502632214440956,0.497367785559044,NA,0.165708765998551,0.908814296063753,0.365950253561942,0.190388794977059,0.29669162038155,0.111808741849795,0.0370924897367786,0.0551074619657088,0.474136681960879,0.630379135474523,0.414585848828785,0.288191258150205,0.23805843999034,0.126829268292683,0.49973436368027
"Arkansas","Bryant city",20189,0.421912922878795,0.578087077121205,NA,0.912724751102085,0.970627569468522,0.358363465253356,0.208529397196493,0.204566843330527,0.108078656694239,0.0687998414978454,NA,0.639803853583635,0.658229729060379,0.477388677002328,0.209074248353064,0.254098766655109,0.126058744861063,0.516122641042152
"Arkansas","Centerton city",21080,0.458111954459203,0.541888045540797,0.479411764705882,0.81280834914611,0.938946869070209,0.40303605313093,0.205360531309298,0.226755218216319,0.173292220113852,0.1176944971537,0.335104364326376,0.795967741935484,0.673434535104364,0.615939278937381,0.146204933586338,0.222817836812144,NA,0.531925996204934
"Arkansas","Maumelle city",19273,0.498676905515488,0.501323094484512,NA,0.987858662377419,0.976288071395216,NA,NA,0.231359933585845,0.182379494629793,0.226742074404607,NA,0.881388470917864,0.732319825662844,0.535152804441447,0.292793026513776,0.351320500181601,NA,0.544025320396409
"California","Agoura Hills city",20594,0.463630183548606,0.536369816451394,0.573030979897057,0.827522579392056,0.934495484121589,0.302806642711469,0.207439059920365,0.294551811207148,0.179372632805672,0.214868408274255,0.231378071282898,0.821404292512382,NA,0.476692240458386,0.260561328542294,0.269641643197048,0.146693211615034,0.541953967174905
"California","Arcata city",21216,0.447256787330317,0.552743212669683,0.730345022624434,0.827253016591252,0.969598416289593,0.343042986425339,0.0646681749622926,0.441270739064857,0.134709653092006,0.0793269230769231,0.354260935143288,0.356900452488688,NA,0.505656108597285,0.288320135746606,0.13763197586727,0.114441930618401,0.688442684766214
