"state","place","TotalPop","Male","Female","White","NonHispanic","USCitizen","Commute_DriveAlone","Family_Married","EnrolledSchool_Over3Yrs","Education_Bachelors","Eduction_GraduateProf","Household_English","PovertyLvl_2andOver","NonVeteran","Employed","NotLaborForce","House_OwnerOccupied","House_Built80to99","HealthIns_Covered"
"Alabama","Auburn city",80009,0.489169968378557,0.510830031621443,0.687922608706521,0.94979314827082,0.931345223662338,0.370695796722869,0.15387018960367,0.485882838180705,0.158157207314177,0.159019610293842,0.332525090927271,0.589746153557725,0.786611506205552,0.496756614880826,0.33205014435876,0.195378019972753,0.118111712432351,0.643065155170043
"Alabama","Birmingham city",196353,0.467871639343427,0.532128360656573,0.223846847259782,0.969330746156158,0.96656022571593,0.339770719062097,0.0967339434589744,0.243423833605802,0.13050984706116,0.0775643865894588,0.424510957306484,0.433866556660708,0.762188507433042,0.458419275488533,0.335732074376251,0.194853147138063,0.0722219675787994,0.514410271297103
"Alabama","Dothan city",70524,0.475384266349044,0.524615733650956,0.590423118371051,0.952682774658272,0.978007486813,0.38223867052351,0.154174465430208,0.23664284498894,0.11726504452385,0.0743860246157337,0.374156315580512,0.617548635925359,0.683568714196586,0.453703703703704,0.31529692019738,0.237280925642335,0.124156315580512,0.457730701605127
"Alabama","Hoover city",92427,0.480963354863839,0.519036645136162,0.735867224945092,0.940623410908068,0.963376502537137,0.376394343644173,0.226200136323801,0.238599110649486,0.234844796433942,0.193655533556212,0.363757343633354,0.858234065803283,0.699481753167364,0.532073961071981,0.244690404319084,0.290456251961007,0.156177307496727,0.512707325781428
"Alabama","Huntsville city",222363,0.49865760041014,0.50134239958986,0.590570373668281,0.940606126019167,0.971227227551346,0.389430795590993,0.169996807022751,0.252560003237949,0.182894636247937,0.145060104423847,0.395137680279543,0.678161384762753,0.715100983526936,0.511744309979628,0.285546606224956,0.248161789506348,0.112945948741472,0.547788975683904
"Alabama","Madison city",59795,0.484338155364161,0.515661844635839,0.60777656994732,0.909089388744878,0.95354126599214,0.342854753741952,0.22791203277866,0.285776402709257,0.209064303035371,0.196203695961201,0.29281712517769,0.865992139811021,0.647930428965633,0.498720628815118,0.259887950497533,0.264888368592692,0.136332469270006,0.557354293837277
"Alabama","Mobile city",183282,0.463722569592213,0.536277430407787,0.414830698049999,0.967159895679881,0.980581835641252,0.379077050665095,0.139811874597615,0.237688370925677,0.13898255147805,0.0746390807607948,0.401250531967133,0.582403072860401,0.728691306293035,0.455063781495182,0.323032267216639,0.227747405637215,0.0975818683776912,0.489960825394747
"Alabama","Montgomery city",196986,0.467160102748419,0.532839897251581,0.264592407582265,0.971058856974607,0.965880824017951,0.349623831135208,0.133816616409288,0.25007868579493,0.134212583635385,0.102271227396871,0.383590712030297,0.59803234747647,0.695389520067416,0.440533845044826,0.31889068258658,0.239758155401907,0.143096463708081,0.476861299787802
"Alabama","Tuscaloosa city",110598,0.466997594893217,0.533002405106783,0.506491979963471,0.967241722273459,0.97787482594622,0.380666919835802,0.124188502504566,0.381100924067343,0.128184958136675,0.103455758693647,0.355946762147598,0.506519105227943,0.793847990017903,0.460559865458688,0.358623121575435,0.168465975876598,0.103283965351996,0.57853668239932
"Arizona","Casas Adobes CDP",75513,0.441963635400527,0.558036364599473,0.680584799968217,0.731688583422722,0.971077827658814,0.35756757114669,0.194138757564923,0.184908558791202,0.168156476368307,0.144597618953028,0.347026339835525,0.771350628368625,0.754320448134758,0.483837220081311,0.329916703084237,0.289605763246064,0.197356746520467,0.528677181412472
"Arizona","Catalina Foothills CDP",48462,0.512277660847674,0.487722339152326,0.747018282365565,0.89375180553836,0.974681193512443,0.322685815690644,0.24864842557055,0.162663530188601,0.242705625025793,0.323469935206966,0.378750361107672,0.845672898353349,0.794932111757666,0.469935206966283,0.396145433535554,0.358301349510957,0.271924394370847,0.467190788659156
"Arizona","Chandler city",280684,0.514165395961295,0.485834604038705,0.560423821806729,0.788409741916176,0.929629049037352,0.338059882287555,0.192893075487025,0.255953314047113,0.189547676390532,0.123359364979835,0.272936825754229,0.822130937281783,0.716161234698095,0.555642644397258,0.220105171652107,0.24408231320631,0.175742115688817,0.583934246341081
"Arizona","Flagstaff city",75902,0.492543015994308,0.507456984005692,0.624779320703012,0.801612605728439,0.958736265184053,0.342573318226134,0.135714473926906,0.411741456088114,0.159956259387104,0.125675212774367,0.311269795262312,0.582580169165503,0.814563516112882,0.559102526942637,0.296816948170009,0.153105320017918,0.14116887565545,0.625042818371057
"Arizona","Gilbert town",275359,0.492785781470735,0.507214218529265,0.704861653332559,0.805668236738222,0.972998885091826,0.326152404678983,0.207024284661115,0.286331661576342,0.192595847602584,0.117635523080778,0.275287896890968,0.851078047203832,0.674174441365635,0.523872471936635,0.220595658758203,0.257057150846713,0.123206432330158,0.555075374329512
"Arizona","Glendale city",252141,0.492704478843187,0.507295521156813,0.494473330398468,0.577736266612729,0.893591284241754,0.317968914218632,0.165621616476495,0.244807468836881,0.106345259200209,0.0544576249003534,0.209628739475135,0.646626292431616,0.718677248047719,0.499224640181486,0.274822420788368,0.207142035607061,0.169936662423009,0.489642699917903
"Arizona","Goodyear city",105404,0.501935410420857,0.498064589579143,0.596258206519677,0.67127433493985,0.964640810595423,0.32149633789989,0.226831998785625,0.208170467913931,0.195893893969868,0.0868752609009146,0.270302834807028,0.806847937459679,0.744601722894767,0.492505028272172,0.308356419111229,0.26875640393154,0.04774012371447,0.49942127433494
